,User Reviews
0,for reference here are my ratings for the other movies despicable me  9 stars despicable me 2  8 stars minions  6 stars despicable me 3  7 starsam so pleasantly surprised that this is the best one since the original it fires on all cylinders comedy story visuals action scenes it starts out fast and never lets up the movie flies by and it has tons of great new charactersthis movie is absolutely hilarious was literally in tears in some scenes the minions are at their very best with so many memorable moments the story is surprisingly unpredictable and keeps you invested the visuals are stunningly beautiful was mesmerized and the action scenes are pretty epic the best of the entire serieshad a blast with this movie its definitely worth seeing on a premium screen greatly enhancing the visuals and action scenesp s im not sure whats up with all these sarcastic 10 star reviews assure you this is not one of them 2 viewings opening thursday imax 6302022 imax 762022
1,going to watch future best animated picture winner minionsrise of gru had high hopes was not however expected the experience that had the story was crisp and emotional the animations though fake felt realer than eversay this with no exaggerationit was better than morbius its morbin timemore like its minion time
2,minions the rise of gru follows 11 34 year old gru voiced by steve carrell trying to make a name for himself and join the ranks of an elite villians group the vicious 6 with humble beginnings as a troublemaker in his mothers basement the minions voiced by pierre coffin are determined to help him succeed in his missionthe film is a sort of origin story for gru despite having elusions to his childhood in the 1st and 3rd movies the wacky and wonderful minions carry the film but sadly the plot seems haphazard the henchmen jeanclawed voice by jeanclaude van damme svengeance voiced by dolph lundgren and stronghold voiced by danny trejo all seem to be secondstring compared to belle bottom voiced by tarajp henson and wild knuckles voiced by alan arkin the animation is fairly standard of the earlier movies the flow is solid and the films ending kind of makes sense but the plot in general is a bit of a hodgepodgeworth a watch with the kids
3,im not sure why this movie doesnt have a higher rating because found it really enjoyable and much better than the first outinglets start with the few negatives have to say because there arent many first the head female villain is a little annoying also there could do with a little bit more emotion so we appreciate the humour even more these things are nitpicky though as for the most part this is great funlets now take it for what it is a comedy animation aimed mostly at kids so is it animated well yes its one of the clearest most colourful animations think have ever seen is it funny yes in fact its very funny laughed many times throughout proving you dont have to eve use proper words to be funny mr bean is a prime example of that and so here are the minions lastly will kids get bored absolutely not the story although with limited payout moves along at such a great pace the movie felt really short and the minions are so consistently funny kids will never get tired of it and actually neither will the big kids adultsfinally still maintain there is nothing cuter in this world than bob and when he does his pleading face is like a puppy x100a last though is that if they want to keep this franchise alive though think they need to move onto shorts because that will it will stop it becoming too repetitive and boring
4,its a fun movie minion scenes are more than gru and thankfully so the chemistry between minions characters is epic love kevin bob and stuartthere is no deep meaning or higher message a simple carefree movie which is supposed to be seen that way
5,this movie has so many references to the sixties and seventies that dont think people under twenty will understand the puns innuendos and jokes the children in the theater will still laugh at the slapstick jokes
6,in his world gru is the most powerful villain anyone has ever seen but the question is how did he become this dominant force minions the rise of gru shows us the exciting story of 12year old gru and the path to his villainous life both the familiar faces and the new characters come together to make this make this film highly entertaining yet nostalgicminions the rise of gru provides the backstory for how gru steve carell came to be the notorious villain he is today after being rejected as a replacement for wild knuckles alan arkin and failing to earn a muchcoveted spot in the supervillain group vicious 6 gru unexpectedly finds himself on the run as fate would have it grus dream of being mentored by wild knuckles soon comes true but not without gru having to now lean on wild knuckles and his minions to fight back against the vicious 6the three main minionskevin stuart and bobeach have unique character traits that make these films work in minions the rise of gru you can see how each minion plays a different role in how gru grows as a villain and as a person kevin is the smart and responsible leaderhe makes sure everything is going according to plan stuart is the one who is always in touch with reality and makes sure the truth is knownhe may seem uninterested but hes very helpful bob is the lighthearted and innocent soul who always tries to make the best out of a situation without all three of these characters this movie wouldnt be the same there are many subtle references to the previous movies that add to the comedic tone as well for instance in the scene where gru and wild knuckles attempt to rob the bank the bank president shows them an image of his grandson who turns out to be none other than the aspiring villain vector of course young gru isnt aware that vector will play a big role in his future but the audience definitely is these subtle references are what contribute to the nostalgic feel we get from watching this film and of course we cant forget about grus iconic wardrobe which hes already wearing as a young kidthe message of minions the rise of gru is that everyone needs a little help sometimes even though he doesnt realize it right away gru eventually recognizes that he needs help in order to be the successful villain he desires to beminions the rise of gru is such a fun movie to watch the lovable characters just make the audience continue to yearn for more give it 5 out of 5 stars and recommend it for ages 5 to 12 though anyone can enjoy this movie minions the rise of gru releases in theaters on july 1 2022 make sure you check it out by maica n kids first
7,it may feel in total like this franchise is running out of steam or at least fresh and creative ideas but minions the rise of gru does manage to be decently entertaining and charming enough to be worth at least a one time watch a lot of people critics included bash the 2015 film minions for a lack of a true plot among many other things but in my personal opinion actually enjoyed the first minions movie and may even find it better than this one although both films are flawed minions had a very clear although frantic vision set in mind for ts characters and never felt like a combination of two completely different films like this one did so what is it about this film that makes it worth watching well the animation for one is absolutely fantastic gorgeous visuals that are easily the best to ever come out of illumination in their companys entire run kid gru is also a fun and charming lead and ill be darned if the minions silly gags didnt charm me from time to time and even earn a chuckle or two the airplane scene most of all its plot is truly all over the place much like the first film and its focus on characters feels very divided as well as its focus on future characters come to be in the franchise considering and reminding the audience how this is a prequel in case the 70s vibes wouldnt tell you otherwise dont know its entertaining it has its moments and found some fun in it its an uneven little flick but its use of colorful visuals and fun characters make it decent enough for a pleasant experience and certainly trumps the third despicable me film and latest franchise release before this one almost 5 years ago its hard to believe this franchise is still going and how it still manages to propel itself forward but in this age of commercialization and franchises minions the rise of gru can be more tolerable than mostmy rating 6210
8,the latest from illumination studios is another adventure actually a prequel this time as we follow how gru still voiced by steve carrell tries to get in the door to join the vicious six voiced by alan arkin tarajp henson jean claude van damme lucy lawless danny trejo amp dolph lundrgren after they have betrayed arkin during a sacred stone heist dismissing him as being too young amp distracted by another potential tryout gru manages to steal the stone sending the baddies on his tail but due to one of the accompanying minions trading the stone out for a pet rock the race is on to get the rock back before the vicious six really five at this point get their collective mitts on it sure the film is threadbare plotwise being an excuse to have a bunch of minion antics running throughout the story like socks on a laundry line but the film is nothing but fun amp unlike the shrek films which acted as an alternative to the pixar output at least the illumination team keeps pushing the envelope on perfecting their visuals standouts include the textures on the minions goggles amp grus realistic expressions when hes upset or challenged returning champs to the franchise include julie andrews as grus mom russell brand as mr nefario hes not a doc yet wmichelle yeoh as a kung fu master the minions get lessons from amp the rza as a biker who gives a minion a much needed ride to san francisco
9,the reason the rise of gru feels like such a let down is because it lacks creativity theres not enough of minions but theres not enough of the young gru either thats not to say it isnt a movie families with young children will have fun watching but compared to this movies predecessor and all the despicable me movies so far the rise of gru is probably the flattest of each of themdirected by kyle balda from a story written and cothought by matthew fogel this minions movie brings back steve carrell to voice the childversion of the superbadsuperdad gru and pierre coffin as the minions to a setting during the 1970s and behind the despicable me movies if you are a despicable me fan or just appreciate the original movies this film offers a delightful set of hilarious references and other jokes thatll have the whole family laughing the typical requirements for animated movies such as voices animation and other things all work out well in this moviehowever for a despicable me prequel titled minions the rise of gru this film sure lacks a fair amount of time to laugh with the minions and the child gru doesnt have enough of a story or motive behind him that keeps us fully appealed to the story this film also follows the predictable despicable me basis of having protagonists working with their own lives but then theres the threat by the villains and this movies group of villains may be funny but theyre completely unoriginal leading to the plot to be quite blandif you liked this review check out the full review and other reviews at aussieboyreviews
