,User Reviews
0,"For reference, here are my ratings for the other movies: Despicable Me - 9 stars. Despicable Me 2 - 8 stars. Minions - 6 stars. Despicable Me 3 - 7 stars.I am so pleasantly surprised that this is the best one since the original. It fires on all cylinders: comedy, story, visuals, action scenes. It starts out fast and never lets up. The movie flies by. And it has tons of great new characters.This movie is absolutely hilarious. I was literally in tears in some scenes. The minions are at their very best with so many memorable moments. The story is surprisingly unpredictable and keeps you invested. The visuals are stunningly beautiful. I was mesmerized. And the action scenes are pretty epic, the best of the entire series.I had a blast with this movie. It's definitely worth seeing on a premium screen, greatly enhancing the visuals and action scenes.P. S. I'm not sure what's up with all these sarcastic 10 star reviews. I assure you this is not one of them. (2 viewings, opening Thursday IMAX 6/30/2022, IMAX 7/6/2022)"
1,"Going to watch ""future best animated picture winner"" Minions:Rise of Gru I had high hopes. I was not however expected the experience that I had. The Story was crisp and emotional, the animations though fake felt realer than ever,I say this with no exaggeration.....IT WAS BETTER THAN MORBIUS. It's Morbin time...More like It's Minion Time."
2,"'Minions: The Rise of Gru' follows 11 3/4 year old Gru (voiced by Steve Carrell) trying to make a name for himself and join the ranks of an elite villians group, the Vicious 6. With humble beginnings as a troublemaker in his mother's basement, the minions (voiced by Pierre Coffin) are determined to help him succeed in his mission.The film is a sort of origin story for Gru, despite having elusions to his childhood in the 1st and 3rd movies. The wacky and wonderful minions carry the film, but sadly, the plot seems haphazard. The henchmen, Jean-Clawed (voice by Jean-Claude Van Damme), Svengeance (voiced by Dolph Lundgren), and Stronghold (voiced by Danny Trejo) all seem to be second-string compared to Belle Bottom (voiced by Taraji P. Henson) and Wild Knuckles (voiced by Alan Arkin). The animation is fairly standard of the earlier movies, the flow is solid, and the film's ending kind of makes sense, but the plot in general is a bit of a hodgepodge.Worth a watch with the kids."
3,"I'm not sure why this movie doesn't have a higher rating, because i found it really enjoyable and much better than the first outing.Lets start with the few negatives i have to say, because there aren't many. First the head female villain is a little annoying. Also there could do with a little bit more emotion so we appreciate the humour even more. These things are nitpicky though, as for the most part this is great fun.Lets now take it for what it is; a comedy animation aimed mostly at kids. So, is it animated well? Yes, it's one of the clearest most colourful animations i think i have ever seen. Is it funny? Yes, in fact it's very funny. I laughed many times throughout, proving you don't have to eve use proper words to be funny. Mr Bean is a prime example of that, and so here are the minions. Lastly will kids get bored? Absolutely not. The story, (although with limited payout) moves along at such a great pace, the movie felt really short and the minions are so consistently funny, kids will never get tired of it and actually neither will the big kids (adults).Finally i still maintain, there is nothing cuter in this world than Bob and when he does his pleading face, is like a puppy X100.A last though is that if they want to keep this franchise alive though, i think they need to move onto shorts, because that will it will stop it becoming too repetitive and boring."
4,"Its a fun movie. Minion scenes are more than Gru and thankfully so. The chemistry between minions characters is epic. Love Kevin, Bob and Stuart.There is no deep meaning or higher message, a simple carefree movie which is supposed to be seen that way."
5,"This movie has so many references to the sixties and seventies that I don't think people under twenty will understand the puns, innuendos and jokes. The children in the theater will still laugh at the slapstick jokes."
6,"In his world, Gru is the most powerful villain anyone has ever seen. But the question is: how did he become this dominant force? Minions: The Rise of Gru shows us the exciting story of 12-year old Gru and the path to his villainous life. Both the familiar faces and the new characters come together to make this make this film highly entertaining, yet nostalgic.Minions: The Rise of Gru provides the backstory for how Gru (Steve Carell) came to be the notorious villain he is today. After being rejected as a replacement for Wild Knuckles (Alan Arkin) and failing to earn a much-coveted spot in the supervillain group Vicious 6, Gru unexpectedly finds himself on the run. As fate would have it, Gru's dream of being mentored by Wild Knuckles soon comes true, but not without Gru having to now lean on Wild Knuckles and his minions to fight back against the Vicious 6.The three main minions-Kevin, Stuart, and Bob-each have unique character traits that make these films work. In Minions: The Rise of Gru, you can see how each minion plays a different role in how Gru grows as a villain and as a person. Kevin is the smart and responsible leader-he makes sure everything is going according to plan. Stuart is the one who is always in touch with reality, and makes sure the truth is known-he may seem uninterested, but he's very helpful. Bob is the lighthearted and innocent soul who always tries to make the best out of a situation. Without all three of these characters, this movie wouldn't be the same. There are many subtle references to the previous movies that add to the comedic tone, as well. For instance, in the scene where Gru and Wild Knuckles attempt to rob the bank, the bank president shows them an image of his grandson, who turns out to be none other than the aspiring villain, Vector. Of course, young Gru isn't aware that Vector will play a big role in his future, but the audience definitely is. These subtle references are what contribute to the nostalgic feel we get from watching this film. And, of course, we can't forget about Gru's iconic wardrobe, which he's already wearing as a young kid.The message of Minions: The Rise of Gru is that everyone needs a little help sometimes. Even though he doesn't realize it right away, Gru eventually recognizes that he needs help in order to be the successful villain he desires to be.Minions: The Rise of Gru is such a fun movie to watch. The lovable characters just make the audience continue to yearn for more. I give it 5 out of 5 stars and recommend it for ages 5 to 12, though anyone can enjoy this movie. Minions: The Rise of Gru releases in theaters on July 1, 2022. Make sure you check it out! By Maica N., KIDS FIRST!"
7,"It may feel in total like this franchise is running out of steam, or at least fresh and creative ideas- but Minions The Rise of Gru does manage to be decently entertaining and charming enough to be worth at least a one time watch. A lot of people, critics included, bash the 2015 film Minions for a lack of a true plot among many other things- but in my personal opinion I actually enjoyed the first minions movie and may even find it better than this one. Although both films are flawed, Minions had a very clear although frantic vision set in mind for ts characters- and never felt like a combination of two completely different films like this one did. So what is it about this film that makes it worth watching? Well the animation for one is absolutely fantastic, gorgeous visuals that are easily the best to ever come out of Illumination in their company's entire run. Kid Gru is also a fun and charming lead, and i'll be darned if the minions silly gags didn't charm me from time to time and even earn a chuckle or two (the airplane scene most of all). Its plot is truly all over the place, much like the first film, and its focus on characters feels very divided- as well as its focus on future characters come to be in the franchise considering and reminding the audience how this is a prequel- in case the 70's vibes wouldn't tell you otherwise. I don't know, its entertaining it has its moments and I found some fun in it. Its an uneven little flick but its use of colorful visuals and fun characters make it decent enough for a pleasant experience- and certainly trumps the third Despicable Me film and latest franchise release before this one almost 5 years ago. It's hard to believe this franchise is still going, and how it still manages to propel itself forward, but in this age of commercialization and franchises- Minions the Rise of Gru can be more tolerable than most.My Rating: 6.2/10."
8,"The latest from Illumination Studios is another adventure, actually a prequel this time, as we follow how Gru, still voiced by Steve Carrell, tries to get in the door to join the Vicious Six (voiced by Alan Arkin, Taraji P. Henson, Jean Claude Van Damme, Lucy Lawless, Danny Trejo & Dolph Lundrgren) after they have betrayed Arkin during a sacred stone heist. Dismissing him as being too young & distracted by another potential try-out, Gru manages to steal the stone sending the baddies on his tail but due to one of the accompanying minions trading the stone out for a pet rock, the race is on to get the rock back before the Vicious Six (really five at this point!) get their collective mitts on it. Sure the film is threadbare plotwise (being an excuse to have a bunch of minion antics running throughout the story like socks on a laundry line) but the film is nothing but fun & unlike the Shrek films which acted as an alternative to the Pixar output, at least the Illumination team keeps pushing the envelope on perfecting their visuals (standouts include the textures on the minions' goggles & Gru's realistic expressions when he's upset or challenged). Returning champs to the franchise include Julie Andrews as Gru's mom, Russell Brand as Mr. Nefario (he's not a doc yet) w/Michelle Yeoh as a kung fu master the minions get lessons from & the Rza as a biker who gives a minion a much needed ride to San Francisco."
9,"The reason The Rise of Gru feels like such a let down is because it lacks creativity, there's not enough of minions, but there's not enough of the young Gru either. That's not to say it isn't a movie families with young children will have fun watching, but compared to this movie's predecessor and all the Despicable Me movies so far, The Rise of Gru is probably the flattest of each of them.Directed by Kyle Balda from a story written and co-thought by Matthew Fogel, this Minions movie brings back Steve Carrell to voice the child-version of the ""superbad-superdad"" Gru and Pierre Coffin as the minions to a setting during the 1970s and behind the Despicable Me movies. If you are a Despicable Me fan or just appreciate the original movies, this film offers a delightful set of hilarious references and other jokes that'll have the whole family laughing. The typical requirements for animated movies such as voices, animation and other things all work out well in this movie.However, for a Despicable Me prequel titled Minions: The Rise of Gru, this film sure lacks a fair amount of time to laugh with the minions, and the child Gru doesn't have enough of a story or motive behind him that keeps us fully appealed to the story. This film also follows the predictable Despicable Me basis of having protagonists working with their own lives, but then there's the threat by the villain/s. And this movies group of villains may be funny, but they're completely unoriginal, leading to the plot to be quite bland.If you liked this review, check out the full review and other reviews at aussieboyreviews."
